Fälligkeitsdatum;Ausgleichsdatum;Abrechnungsperiode;Abrechnungsdatum;Positionstext;Nummer Kreditor;Name Buchungspartner;UStID;Land;Kontonummer;Kontoname;Nummer Verkaufsstelle;Belegart;Belegdatum;Eingangsperiode;Belegnummer;Bruttobetrag in Belegwährung;Belegwährung;Bruttobetrag in Zahlwährung;Zahlwährung;Max. Skontosatz;Skontobasis in Belegwährung;Skonto Umsatzsteuersatz;Skonto in Zahlwährung;Skontobasis in Zahlwährung;Skonto Umsatzsteuer in Zahlwährung;Zahlbetrag in Zahlwährung;Umsatzsteuersatz;Warengruppe;Postentyp;Prüfkennzeichen;Prüfkommentar;Prüfer;Prüfungsdatum;Portaleingangsdatum
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881503;929,56;CHF;929,56;CHF;3,000;929,56;0,000;-27,89;929,56;0,00;901,67;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881502;404,00;CHF;404,00;CHF;3,000;404,00;0,000;-12,12;404,00;0,00;391,88;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881501;497,12;CHF;497,12;CHF;3,000;497,12;0,000;-14,91;497,12;0,00;482,21;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881500;983,55;CHF;983,55;CHF;3,000;983,55;0,000;-29,51;983,55;0,00;954,04;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881499;513,73;CHF;513,73;CHF;3,000;513,73;0,000;-15,41;513,73;0,00;498,32;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881498;983,55;CHF;983,55;CHF;3,000;983,55;0,000;-29,51;983,55;0,00;954,04;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881497;929,56;CHF;929,56;CHF;3,000;929,56;0,000;-27,89;929,56;0,00;901,67;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.02.2021;2021-06;01-3881496;2754,94;CHF;2754,94;CHF;3,000;2754,94;0,000;-82,65;2754,94;0,00;2672,29;7,700;Ware;;;;;;26.02.2021
;11.03.2021;2021-06;10.03.2021;1790002292 Sioux Schuhe GmbH;1790002292;Sioux Schuhe GmbH;DE333246753;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;24.02.2021;2021-06;5109553;-4404,96;EUR;-4900,61;CHF;3,000;-4404,96;0,000;147,02;-4900,61;0,00;-4753,59;7,700;Ware;;;;;;04.03.2021
;11.03.2021;2021-06;10.03.2021;1790002292 Sioux Schuhe GmbH;1790002292;Sioux Schuhe GmbH;DE333246753;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;24.02.2021;2021-06;5109553;4404,96;EUR;4900,61;CHF;3,000;4404,96;0,000;-147,02;4900,61;0,00;4753,59;7,700;Ware;;;;;;02.03.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;24.02.2021;2021-06;01-3881110;929,56;CHF;929,56;CHF;3,000;929,56;0,000;-27,89;929,56;0,00;901,67;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;24.02.2021;2021-06;01-3881109;929,56;CHF;929,56;CHF;3,000;929,56;0,000;-27,89;929,56;0,00;901,67;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;24.02.2021;2021-06;01-3881108;929,56;CHF;929,56;CHF;3,000;929,56;0,000;-27,89;929,56;0,00;901,67;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;24.02.2021;2021-06;01-3881107;1062,74;CHF;1062,74;CHF;3,000;1062,74;0,000;-31,88;1062,74;0,00;1030,86;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;24.02.2021;2021-06;01-3881106;929,56;CHF;929,56;CHF;3,000;929,56;0,000;-27,89;929,56;0,00;901,67;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790004004 FALKE KGaA;1790004004;FALKE KGaA;DE125915122;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;23.02.2021;2021-06;01-3880780;577,54;CHF;577,54;CHF;3,000;577,54;0,000;-17,33;577,54;0,00;560,21;7,700;Ware;;;;;;24.02.2021
