Fälligkeitsdatum;Ausgleichsdatum;Abrechnungsperiode;Abrechnungsdatum;Positionstext;Nummer Kreditor;Name Buchungspartner;UStID;Land;Kontonummer;Kontoname;Nummer Verkaufsstelle;Belegart;Belegdatum;Eingangsperiode;Belegnummer;Bruttobetrag in Belegwährung;Belegwährung;Bruttobetrag in Zahlwährung;Zahlwährung;Max. Skontosatz;Skontobasis in Belegwährung;Skonto Umsatzsteuersatz;Skonto in Zahlwährung;Skontobasis in Zahlwährung;Skonto Umsatzsteuer in Zahlwährung;Zahlbetrag in Zahlwährung;Umsatzsteuersatz;Warengruppe;Postentyp;Prüfkennzeichen;Prüfkommentar;Prüfer;Prüfungsdatum;Portaleingangsdatum
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000294;3086,27;CHF;3086,27;CHF;3,000;3086,27;0,000;-92,59;3086,27;0,00;2993,68;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000293;4536,14;CHF;4536,14;CHF;3,000;4536,14;0,000;-136,08;4536,14;0,00;4400,06;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;11.02.2021;2021-05;5000292;1552,14;CHF;1552,14;CHF;3,000;1552,14;0,000;-46,56;1552,14;0,00;1505,58;7,700;Ware;;;;;;19.02.2021
;11.03.2021;2021-06;10.03.2021;1790001390 Skechers Sàrl;1790001390;Skechers Sàrl;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;05.02.2021;2021-06;5778658;3498,63;CHF;3498,63;CHF;3,000;3498,63;0,000;-104,96;3498,63;0,00;3393,67;7,700;Ware;;;;;;25.02.2021
;11.03.2021;2021-06;10.03.2021;1790004767 VF International SAGL;1790004767;VF International SAGL Marke Timberland;;CH;1790046937;Schuhhaus Walder AG;1790046937;Gutschrift;05.02.2021;2021-06;3350005491;-673,99;CHF;-673,99;CHF;3,000;-673,99;0,000;20,22;-673,99;0,00;-653,77;7,700;Ware;;;;;;04.03.2021
;11.03.2021;2021-06;10.03.2021;1790005110 bugatti shoes man ag;1790005110;bugatti shoes man ag;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;04.02.2021;2021-05;21002855;-2401,04;CHF;-2401,04;CHF;3,000;-2401,04;0,000;72,03;-2401,04;0,00;-2329,01;7,700;Ware;;;;;;20.02.2021
;11.03.2021;2021-06;10.03.2021;1790005110 bugatti shoes man ag;1790005110;bugatti shoes man ag;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;04.02.2021;2021-04;21002855;2401,04;CHF;2401,04;CHF;3,000;2401,04;0,000;-72,03;2401,04;0,00;2329,01;7,700;Ware;;;;;;16.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;02.02.2021;2021-04;5000187;6280,83;CHF;6280,83;CHF;3,000;6280,83;0,000;-188,42;6280,83;0,00;6092,41;7,700;Ware;;;;;;11.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;02.02.2021;2021-04;5000186;3140,39;CHF;3140,39;CHF;3,000;3140,39;0,000;-94,21;3140,39;0,00;3046,18;7,700;Ware;;;;;;11.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;02.02.2021;2021-04;5000185;4239,55;CHF;4239,55;CHF;3,000;4239,55;0,000;-127,19;4239,55;0,00;4112,36;7,700;Ware;;;;;;11.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;02.02.2021;2021-04;5000184;4239,55;CHF;4239,55;CHF;3,000;4239,55;0,000;-127,19;4239,55;0,00;4112,36;7,700;Ware;;;;;;11.02.2021
;11.03.2021;2021-06;10.03.2021;1790001025 Arex AG ( Ara);1790001025;Arex AG ( Ara);;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;02.02.2021;2021-04;207125;6086,67;CHF;6086,67;CHF;3,000;6086,67;0,000;-182,60;6086,67;0,00;5904,07;7,700;Ware;;;;;;11.02.2021
;11.03.2021;2021-06;10.03.2021;1790001267 Sportco AG;1790001267;Sportco AG;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;29.01.2021;2021-06;642321;5081,30;CHF;5081,30;CHF;3,000;5081,30;0,000;-152,44;5081,30;0,00;4928,86;7,700;Ware;;;;;;02.03.2021
;11.03.2021;2021-06;10.03.2021;1790001208 ECCO EMEA Sales SE, Amsterdam;1790001208;ECCO EMEA Sales SE, Amsterdam Zw.Ndl.Schweiz, Hünenberg;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;27.01.2021;2021-03;201310451;11152,25;CHF;11152,25;CHF;3,000;11152,25;0,000;-334,57;11152,25;0,00;10817,68;7,700;Ware;;;;;;02.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.01.2021;2021-03;5000105;5338,72;CHF;5338,72;CHF;3,000;5338,72;0,000;-160,16;5338,72;0,00;5178,56;7,700;Ware;;;;;;03.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.01.2021;2021-03;5000104;2355,32;CHF;2355,32;CHF;3,000;2355,32;0,000;-70,66;2355,32;0,00;2284,66;7,700;Ware;;;;;;03.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.01.2021;2021-03;5000103;2747,86;CHF;2747,86;CHF;3,000;2747,86;0,000;-82,44;2747,86;0,00;2665,42;7,700;Ware;;;;;;03.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.01.2021;2021-03;5000102;4004,01;CHF;4004,01;CHF;3,000;4004,01;0,000;-120,12;4004,01;0,00;3883,89;7,700;Ware;;;;;;03.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.01.2021;2021-03;5000101;981,37;CHF;981,37;CHF;3,000;981,37;0,000;-29,44;981,37;0,00;951,93;7,700;Ware;;;;;;03.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.01.2021;2021-03;5000100;1727,24;CHF;1727,24;CHF;3,000;1727,24;0,000;-51,82;1727,24;0,00;1675,42;7,700;Ware;;;;;;03.02.2021
;11.03.2021;2021-06;10.03.2021;1790003723 Geox Suisse SA;1790003723;Geox Suisse SA;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;26.01.2021;2021-03;5000099;785,12;CHF;785,12;CHF;3,000;785,12;0,000;-23,55;785,12;0,00;761,57;7,700;Ware;;;;;;03.02.2021
;11.03.2021;2021-06;10.03.2021;1790001025 Arex AG ( Ara);1790001025;Arex AG ( Ara);;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;25.01.2021;2021-03;207075;1048,49;CHF;1048,49;CHF;3,000;1048,49;0,000;-31,45;1048,49;0,00;1017,04;7,700;Ware;;;;;;02.02.2021
;11.03.2021;2021-06;10.03.2021;1790003207 Legero Schuh AG;1790003207;Legero Schuh AG c/o TEAG Treuhandbüro Eggenberger A;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;15.01.2021;2021-02;3044620;14567,62;CHF;14567,62;CHF;3,000;14567,62;0,000;-437,03;14567,62;0,00;14130,59;7,700;Ware;;;;;;23.01.2021
;11.03.2021;2021-06;10.03.2021;1790005238 Creaciones Alpe SL;1790005238;Creaciones Alpe SL;ESB45057874;ES;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;15.01.2021;2021-06;11/172798;-7362,63;EUR;-8191,08;CHF;3,000;-7362,63;0,000;245,73;-8191,08;0,00;-7945,35;0,000;Ware;;;;;;05.03.2021
;11.03.2021;2021-06;10.03.2021;1790005238 Creaciones Alpe SL;1790005238;Creaciones Alpe SL;ESB45057874;ES;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;15.01.2021;2021-06;11/172798;7362,63;EUR;8191,08;CHF;3,000;7362,63;0,000;-245,73;8191,08;0,00;7945,35;0,000;Ware;;;;;;04.03.2021
;11.03.2021;2021-06;10.03.2021;1790003207 Legero Schuh AG;1790003207;Legero Schuh AG c/o TEAG Treuhandbüro Eggenberger A;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;04.12.2020;2020-34;3044405;9602,00;CHF;9602,00;CHF;3,000;9602,00;0,000;-288,06;9602,00;0,00;9313,94;7,700;Ware;;;;;;15.12.2020
;11.03.2021;2021-06;10.03.2021;1790003207 Legero Schuh AG;1790003207;Legero Schuh AG c/o TEAG Treuhandbüro Eggenberger A;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;01.12.2020;2020-34;3044388;1930,23;CHF;1930,23;CHF;3,000;1930,23;0,000;-57,91;1930,23;0,00;1872,32;7,700;Ware;;;;;;15.12.2020
;11.03.2021;2021-06;10.03.2021;1790003207 Legero Schuh AG;1790003207;Legero Schuh AG c/o TEAG Treuhandbüro Eggenberger A;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;20.11.2020;2020-32;3044302;9243,06;CHF;9243,06;CHF;3,000;9243,06;0,000;-277,29;9243,06;0,00;8965,77;7,700;Ware;;;;;;25.11.2020
;11.03.2021;2021-06;10.03.2021;1790003207 Legero Schuh AG;1790003207;Legero Schuh AG c/o TEAG Treuhandbüro Eggenberger A;;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;12.11.2020;2020-32;3044209;15144,25;CHF;15144,25;CHF;3,000;15144,25;0,000;-454,33;15144,25;0,00;14689,92;7,700;Ware;;;;;;25.11.2020
;11.03.2021;2021-06;10.03.2021;1790002552 Sioux GmbH;1790002552;Sioux GmbH;DE145003018;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;29.10.2020;2020-30;5073823;-10664,85;EUR;-11864,86;CHF;3,000;-10664,85;0,000;355,95;-11864,86;0,00;-11508,91;7,700;Ware;;;;;;05.11.2020
;11.03.2021;2021-06;10.03.2021;1790002552 Sioux GmbH;1790002552;Sioux GmbH;DE145003018;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;29.10.2020;2020-30;5073823;10664,85;EUR;11864,86;CHF;3,000;10664,85;0,000;-355,95;11864,86;0,00;11508,91;7,700;Ware;;;;;;03.11.2020
;11.03.2021;2021-06;10.03.2021;1790002552 Sioux GmbH;1790002552;Sioux GmbH;DE145003018;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung Storno;29.10.2020;2020-30;5073822;-448,08;EUR;-498,50;CHF;3,000;-448,08;0,000;14,96;-498,50;0,00;-483,54;7,700;Ware;;;;;;05.11.2020
;11.03.2021;2021-06;10.03.2021;1790002552 Sioux GmbH;1790002552;Sioux GmbH;DE145003018;DE;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;29.10.2020;2020-30;5073822;448,08;EUR;498,50;CHF;3,000;448,08;0,000;-14,96;498,50;0,00;483,54;7,700;Ware;;;;;;03.11.2020
;11.03.2021;2021-06;10.03.2021;1790001025 Arex AG ( Ara);1790001025;Arex AG ( Ara);;CH;1790046937;Schuhhaus Walder AG;1790046937;Rechnung;19.05.2020;2020-14;205004;4271,62;CHF;4271,62;CHF;3,000;4271,62;0,000;-128,15;4271,62;0,00;4143,47;7,700;Ware;;;;;;21.05.2020
